s,h:m:s,max_rss,max_vms,max_uss,max_pss,io_in,io_out,mean_load,repeat,sample,rule,threads_per_rule,no_samples,resource_type,run_type,data_type,pipeline,filepath_benchmarking_file,filepath_log_file,node
7501.1747,2:05:01,12096.16,38537.86,12092.86,12092.91,8426.65,60.04,158.7,1,dummy05,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio5 
8124.9865,2:15:24,12246.79,38537.86,12243.33,12243.38,0.0,60.24,154.94,2,dummy05,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio5 
7928.1337,2:12:08,12238.01,38563.1,12234.86,12234.91,0.0,60.16,156.28,3,dummy05,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio5 
5276.4543,1:27:56,12035.39,38499.22,12003.52,12015.18,5115.45,44.45,155.12,1,dummy03,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio5 
4300.6006,1:11:40,12020.15,38537.72,11988.14,11995.62,0.0,43.74,166.41,2,dummy03,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio5 
4729.9829,1:18:49,11836.71,38537.72,11804.6,11811.81,0.0,44.17,165.44,3,dummy03,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio5 
5823.8206,1:37:03,11932.53,38537.75,11900.43,11907.66,5505.45,46.15,160.23,1,dummy06,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio5 
4941.0479,1:22:21,12014.04,38559.74,12006.4,12006.46,0.0,45.84,163.94,2,dummy06,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio5 
4539.2887,1:15:39,11968.84,38537.75,11936.75,11951.13,0.0,45.57,165.33,3,dummy06,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio5 
4159.4148,1:09:19,11910.39,38509.71,11878.26,11885.89,4762.68,42.37,168.91,1,dummy04,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio5 
3885.8340000000003,1:04:45,11881.3,38509.71,11849.19,11856.42,0.0,41.84,169.24,2,dummy04,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio5 
4060.6867,1:07:40,11997.77,38509.71,11965.76,11972.99,0.0,41.98,168.94,3,dummy04,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio5 
15406.4053,4:16:46,11745.69,38495.5,11742.25,11742.43,2419.15,87.03,121.34,1,dummy08,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio2 
16811.3374,4:40:11,11742.96,38495.5,11739.45,11739.53,0.0,87.49,107.4,2,dummy08,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio2 
