s,h:m:s,max_rss,max_vms,max_uss,max_pss,io_in,io_out,mean_load,repeat,sample,rule,threads_per_rule,pipeline,filepath
67.1042,0:01:07,16985.45,71673.04,16979.02,16979.45,0.0,539.73,123.14,1,NIST7035_NIST,gatk_CalculateGenotypePosteriors,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/gatk_CalculateGenotypePosteriors
69.6679,0:01:09,16999.3,71675.6,16993.36,16993.79,0.0,555.12,121.14,2,NIST7035_NIST,gatk_CalculateGenotypePosteriors,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/gatk_CalculateGenotypePosteriors
75.1699,0:01:15,16986.52,71673.04,16980.11,16980.54,0.0,523.56,117.67,3,NIST7035_NIST,gatk_CalculateGenotypePosteriors,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/gatk_CalculateGenotypePosteriors
410.7004,0:06:50,8833.38,30725.55,8793.14,8809.89,14.12,46.76,103.86,1,NIST7035_NIST,gatk4_VariantRecalibrator_snp,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/gatk4_VariantRecalibrator_snp
350.6164,0:05:50,8823.62,30725.57,8783.8,8800.54,0.0,44.09,113.5,2,NIST7035_NIST,gatk4_VariantRecalibrator_snp,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/gatk4_VariantRecalibrator_snp
376.1406,0:06:16,8643.86,30234.59,8637.47,8637.86,0.0,0.96,104.54,3,NIST7035_NIST,gatk4_VariantRecalibrator_snp,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/gatk4_VariantRecalibrator_snp
480.0797,0:08:00,3180.0,3778.99,2101.32,2160.84,10745.27,76.73,29.68,1,NIST7035_NIST,vep,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/vep
452.3551,0:07:32,3422.14,4021.38,2264.73,2327.05,0.0,76.8,31.49,2,NIST7035_NIST,vep,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/vep
444.3136,0:07:24,2216.07,2819.68,1122.55,1183.13,0.0,76.8,35.0,3,NIST7035_NIST,vep,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/vep
16.2302,0:00:16,2024.68,36603.57,2020.52,2020.91,0.0,114.66,331.3,1,NIST7035_NIST,gatk_VQSR_indel,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/gatk_VQSR_indel
15.6539,0:00:15,1973.09,36600.97,1967.36,1967.76,0.0,115.7,327.75,2,NIST7035_NIST,gatk_VQSR_indel,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/gatk_VQSR_indel
14.9021,0:00:14,2318.23,36600.97,2310.88,2311.29,0.0,115.71,317.75,3,NIST7035_NIST,gatk_VQSR_indel,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/gatk_VQSR_indel
2955.0923,0:49:15,58.32,84.48,53.03,53.37,0.05,730.14,98.85,1,NIST7035_NIST,genmod_annotate_CADD,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/genmod_annotate_CADD
2909.7669,0:48:29,58.28,84.37,52.99,53.32,0.0,731.68,99.31,2,NIST7035_NIST,genmod_annotate_CADD,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/genmod_annotate_CADD
2921.7131,0:48:41,58.29,84.37,52.91,53.25,164.98,729.6,98.35,3,NIST7035_NIST,genmod_annotate_CADD,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/genmod_annotate_CADD
14.7073,0:00:14,10.04,62.6,5.39,5.66,2.84,80.29,86.69,1,NIST7035_NIST,bcftools_view_multiallelicsites,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/bcftools_view_multiallelicsites
14.9891,0:00:14,9.92,62.6,5.4,5.66,0.0,80.29,89.0,2,NIST7035_NIST,bcftools_view_multiallelicsites,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/bcftools_view_multiallelicsites
14.8769,0:00:14,9.81,62.6,5.34,5.6,0.0,80.29,89.55,3,NIST7035_NIST,bcftools_view_multiallelicsites,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/bcftools_view_multiallelicsites
76.172,0:01:16,2032.77,22152.89,2026.6,2026.99,25.88,423.95,94.82,1,NIST7035_NIST,SnpSift_annotate_dbSNP,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/SnpSift_annotate_dbSNP
77.85,0:01:17,2032.89,22152.89,2027.66,2028.08,0.0,437.31,92.32,2,NIST7035_NIST,SnpSift_annotate_dbSNP,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/SnpSift_annotate_dbSNP
79.0292,0:01:19,2057.17,22152.89,2050.32,2050.73,0.0,789.12,139.29,3,NIST7035_NIST,SnpSift_annotate_dbSNP,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/SnpSift_annotate_dbSNP
3994.5641,1:06:34,11708.16,22997.94,11702.32,11702.73,9.71,138.32,113.32,1,NIST7035_NIST,SnpSift_dbnsfp,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/SnpSift_dbnsfp
4000.1467,1:06:40,10178.7,22672.92,10171.59,10172.01,0.0,138.91,114.54,2,NIST7035_NIST,SnpSift_dbnsfp,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/SnpSift_dbnsfp
3631.5966,1:00:31,10083.11,22607.91,10076.04,10076.47,0.0,137.99,117.22,3,NIST7035_NIST,SnpSift_dbnsfp,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/SnpSift_dbnsfp
42.2253,0:00:42,23.75,48.98,18.43,18.76,0.0,253.59,35.95,1,NIST7035_NIST,genmod_score,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/genmod_score
46.2794,0:00:46,23.84,49.09,18.57,18.9,0.0,713.23,89.75,2,NIST7035_NIST,genmod_score,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/genmod_score
42.5568,0:00:42,23.82,48.98,18.43,18.76,0.0,255.79,35.66,3,NIST7035_NIST,genmod_score,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/genmod_score
336.9252,0:05:36,8528.22,30234.59,8489.18,8505.51,183.43,1.7,80.36,1,NIST7035_NIST,gatk_VariantRecalibrator_indel,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/gatk_VariantRecalibrator_indel
